date/error module,HW-M,HW-A,RNN1,RNN2,RNN3 ,HW-AM,HW-AM-RNN1,HW-AM-RNN2,HW-AM-RNN3
01/22,"202,75","31,38","20,86","37,01","36,56","59,22","30,09","28,49","22,66"
02/22,"245,84","34,97","55,45","75,77","87,53","7,19","12,46","13,65","22,05"
03/22,"312,19","18,7","33,46","51,94","64,97","29,93","11,63","11,68","3,69"
04/22,"157,12","201,91","95,25","105,82","105,7","148,87","125,81","117,31","103,7"
05/22,"200,73","153,92","72,93","86,78","87,66","101,7","87,26","81,26","71,52"
06/22,"225,41","114,55","26,46","25,94","38,48","64,16","28,43","15,07","9,74"
07/22,"342,91","0,35","135,59","134,97","150,05","50,54","84,32","97,56","123,08"
08/22,"249,41","39,19","74,6","60,76",62,"4,4","31,44","38,14","52,43"
09/22,"288,07","32,68","154,44","125,42","113,01","72,53","102,03","103,42","109,98"
10/22,"243,42","6,46","149,23","127,84","109,45",44,"81,06","86,14","92,9"
11/22,"252,85","47,67","63,12","57,68","76,78","80,61","73,86","79,82","92,57"
12/22,"168,77","43,58","20,38","34,24","23,67","9,78","13,8","10,85","2,46"
SUM,"2889,47","725,36","901,7528","924,1668","955,8785","672,93","682,19","683,39","706,78"
,,,,,,,,,
,,,,,,,,,
,HW-M,HW-A,HW-AM,RNN1,RNN2,RNN3 ,HW-AM-RNN1,HW-AM-RNN2,HW-AM-RNN3
HW-M,-,"74,9","68,79","68,02","66,92","76,71","76,39","76,35","75,54"
HW-A,"-298,35",-,"-24,32","-27,41","-31,78","7,23","5,95","5,79","2,56"
HW-AM,"-220,43","19,56",-,"-2,49",-6,"25,38","24,35","24,22","21,62"
RNN1,"-212,66","21,51","2,43",-,"-3,43","27,19","26,18","26,05","23,52"
RNN2,"-202,28","24,12","5,66","3,32",-,"29,6","28,63","28,51","26,06"
RNN3 ,"-329,39","-7,79",-34,"-37,33","-42,05",-,"-1,38","-1,55","-5,03"
HW-AM-RNN1,"-323,56","-6,33","-32,18","-35,47","-40,12","1,36",-,"-0,18","-3,6"
HW-AM-RNN2,"-322,81","-6,14","-31,95","-35,23","-39,87","1,53","0,18",-,"-3,42"
HW-AM-RNN3,"-308,82","-2,63","-27,59","-30,76","-35,24","4,79","3,48","3,31",-
