Date,Data,HW-M,HW-A,RNN1,RNN2,RNN3,HW-AM,HW-AM-RNN1,HW-AM-RNN2,HW-AM-RNN3
01/15,"193,05",,,,,,,,,
02/15,"231,67",,,,,,,,,
03/15,"310,42",,,,,,,,,
04/15,"302,61",,,"331,4536","338,4764","337,4736",,,,
05/15,"364,54",,,"344,5956","367,6488","373,2259",,,,
06/15,"398,64",,,"364,8618","391,6931","403,3557",,,,
07/15,"385,51",,,"392,39","420,7471","429,8428",,,,
08/15,"583,62",,,"406,1657","460,4965","477,8005",,,,
09/15,"462,3",,,"504,0535","500,4289","490,7129",,,,
10/15,"601,95",,,"520,1369","540,2796","537,1592",,,,
11/15,"575,48",,,"565,5907","582,5813","575,5862",,,,
12/15,"495,95",,,"596,9227","602,8455","595,5951",,,,
01/16,"547,7","226,36","479,83","546,8865","558,989","558,6122","442,79","476,18","477,59","484,64"
02/16,"428,8","620,51","428,8","547,9242","562,8131","553,2883","450,11","494,7","502,73","513,25"
03/16,"508,3","706,84","392,76","495,4875","534,0355","547,8205","430,3","466,84","484,68","508,3"
04/16,"597,7","599,77","426,16","498,7255","528,9274","532,3831","445,14","473,51","485,71","499,14"
05/16,"489,4","787,27","474,37","570,6724","581,2898","577,9716","511,06","546,37","552,41","563,38"
06/16,"472,2","672,84","450,03","549,0332","559,5371","555,2163","475,21","512,49","518,13","528,58"
07/16,"577,9","548,88","446,26","504,1861","537,3185","548,5782","455,83","480,34","492,46","508,18"
08/16,"491,7","931,63","491,7","550,3003","563,566","551,8256","544,78","565,11","571,58","574,79"
09/16,"634,7","512,57","470,86","541,5771","554,8259","549,0888","472,3","502,52","506,72","512,8"
10/16,"798,2","840,51","529,23","593,2732","613,5057","623,3531","565,25","589,87","598,02","612,94"
11/16,"550,5","822,99","611,21","700,9039","714,0984","691,7409","633,59","669,76","674,71","675,01"
12/16,"501,7","563,97","541,53","633,6065","623,53","606,8585","539,87","578,8","573,97","574,12"
01/17,"503,9","248,73","554,13","538,4388","553,3548","562,5041","509,7","515,56","514,06","516,49"
02/17,"394,7","427,58","512,09","524,274","546,162","545,773","496,76","508,68","512,86","515,39"
03/17,"629,9","576,96","486,2","461,4806","520,8298","543,5365","493,89","489,88","508,78","523,73"
04/17,"698,1","694,79","574,25","547,4737","561,6575","566,4909","585,08","580,99","581,71","582,27"
05/17,"635,9","765,6","586,35","661,4802","680,607","681,6911","604,71","635,9","642,6","653,64"
06/17,"603,4","795,9","580,25","651,1386","662,3951","676,2249","603,4","632,48","636,27","652,5"
07/17,"687,4","732,93","592,72","617,9819","624,9905","617,9586","605,95","620,18",620,"619,73"
08/17,"740,1","880,72","603,93","650,8282","674,7011","694,4247","634,83","654,83","662,91","681,02"
09/17,"767,4",813,"666,41","690,2077","708,3312","711,504","679,84","694,38","697,92","703,8"
10/17,"836,6","975,45","706,82","702,1843","717,758","718,7495","735,79","738,99","741,05","742,72"
11/17,"699,9","764,31","685,08","719,8567","729,2049","720,119","689,59","709,23","709,12","708,77"
12/17,"781,4","682,79","657,05","686,7312","703,1152","715,0717","654,84","673,12","675,4","685,71"
01/18,"679,97","416,75","726,41","687,8844","712,4884","720,3712","679,97","679,97","679,97","679,97"
02/18,"552,23","498,8","648,93","678,7452","693,6491","707,9742","623,91","644,73","645,23","655,9"
03/18,"484,27","791,38","664,78","597,2766","595,1692","579,9029","675,63","658,2","650,38","634,21"
04/18,"449,58","601,84","624,78","532,7313","551,1928","559,372","616,51","592,11","590,67","585,32"
05/18,"619,22","489,09","549,98","487,5181","529,3545","544,1478","537,41","523,09","532,17","536,15"
06/18,"596,81","662,93","600,3","563,1722","578,0953","580,9663","603,37","596,81","596,81","595,01"
07/18,"729,97","717,8","629,21","613,5348","621,6207","626,309","635,41","636,4","634,47","635,31"
08/18,"757,66","873,33","661,83","666,9182","692,992","703,7947","683,75","690,67","697,13","705,88"
09/18,"795,56","836,75","707,14","703,556","716,9384","714,1353","718,02","723,65","723,88","722,96"
10/18,"699,06","966,29","753,31","709,0938","723,0591","720,8379","774,65","765,27","764,47","759,54"
11/18,"826,53","665,32","643,28","682,0476","699,5957","712,8493","640,7","662,08","665,23","677,37"
12/18,"650,40","782,48","723,24","704,6421","722,5629","719,9878","724,83","726,39","727,2","724,9"
01/19,"499,5","393,3","673,64","674,9783","685,0248","697,2138","631,46","644,45","640,88","646,13"
02/19,"682,1","344,97","552,51","560,2141","564,128","568,121","520,83","533,49","529,28","530,9"
03/19,"631,3","734,55","664,42","619,8051","648,3489","671,1928","667,92","659,4","663,97","672,85"
04/19,"808,2","757,01","656,53","649,7262","660,7135","677,3643","664,04","668,34","667,72","675,93"
05/19,"717,5","931,32","724,98","697,7745","717,0277","711,1668","745,69","742,07","744,14","739,93"
06/19,"687,8","803,12","687,81","700,8803","712,659","718,65","696,99","708,47","708,74","713,94"
07/19,"718,8","863,73","728,4","661,3184","682,6298","697,9831","739,84","723,22","724,1","725,98"
08/19,"649,2","860,22","717,58","675,773","697,8832","711,8617","730,07","722,13","724,38","728,59"
09/19,"757,1","750,29","711,66","657,083","670,4349","684,5355","710,66","699,68","697,34","698,76"
10/19,"822,2","822,2","743,24","682,2502","706,2523","714,2931","747,22","733,77","735,39","734,34"
11/19,"690,3","822,45","736,84","721,9215","728,7407","715,6237","741,74","744,39","741,09","732,71"
12/19,"778,2","635,75","675,92","682,7428","698,7956","711,6716","664,97","676,39","677,07","684,92"
01/20,"520,6","473,57","696,92","686,9691","711,5922","719,6299","661,97","670,42","672,33","676,05"
02/20,705,"397,72","606,15","610,3771","598,9657","582,759","573,9","586,01","575,25","564,48"
03/20,"642,9","642,9","683,27","631,6209","662,4919","684,1106","672,24","663,1","667,36","674,62"
04/20,"838,3","780,07",704,"660,2022","671,7761","688,7206","707,94","700,11","697,81","701,85"
05/20,"751,2","879,43","746,43","706,9502","722,4491","711,6263","757,42","750,81","750,26","741,4"
06/20,"729,9","841,16","713,94","713,7808","722,5597","721,8934","724,45","731,41","729,9","729,9"
07/20,"733,1","905,92","757,33","678,0824","701,8208","715,3819","770,25","749,5","750,74","750,62"
08/20,"655,7","858,07","727,18","684,6817","705,5868","716,8092","738,06","730,17","731,76","734,3"
09/20,"780,5","818,13","738,26","658,88","673,4778","686,8226","742,4","722,38","719,71","718,18"
10/20,839,"854,26","779,19","689,9978","712,4716","716,026","782,37","759,46","759,13","752,37"
11/20,"685,2","799,76","746,78","728,1811","731,9169","716,0081","747,35","749,3","744,35","733,66"
12/20,"787,2","686,03","704,31","680,7362","696,8858","709,3973","695,97","696,68","696,22","700,47"
01/21,"676,7","470,07","676,85","687,4532","712,6319","720,1042","644,22","659,44","662,61","668,54"
02/21,"592,6","540,16","697,55","679,7588","693,6895","707,8719","671,17","675,89","673,82","678,79"
03/21,"536,1","520,37","654,84","615,5248","618,996","603,2564","631,8","628,05","621,64","608,05"
04/21,"691,8","648,48","691,8","573,1689","577,3415","568,015","680,31","647,66","638,98","619,98"
05/21,"654,5","676,25","682,29","635,3927","663,3371","684,6623","675,73","667,75","671,3","678,76"
06/21,"792,8","706,05","659,9","661,5284","675,5561","692,7582","660,32","668,43","668,89","678,46"
07/21,"691,1","905,87","754,95","696,4269","715,9916","713,9083","768,2","754,7","755,1",749
08/21,"684,6","809,97","687,28","688,2058","701,6636","713,6336","697,43","704,5","705,05","712,09"
09/21,"812,6","888,84","744,3","657,1789","678,624","694,6048","756,8","733,17","733,3","733,25"
10/21,"784,6","910,38","793,72","706,9329","721,8977","714,7954","802,18","779,69","776,7","764,14"
11/21,"811,7","743,83","708,18","716,3929","725,8129","721,852","706,83","718,02","716,45","715,47"
12/21,"726,4","832,83","759,21","708,8604","724,5984","723,9644","762,36","752,95","751,56","746,37"
01/22,"655,82","484,45","655,82","708,0586","724,2081","723,7608","627,98","655,03","658,71","655,03"
02/22,"665,17","384,36","665,17","685,6522","705,9666","717,7325","623,01","641,79","643,85","641,79"
03/22,"659,6","328,71","659,6","674,3642","692,8368","705,8726","610,97","629,57","629,22","629,57"
04/22,"748,81","389,78","748,81","642,1481","652,7212","652,6038","695,77","675,87","664,21","675,87"
05/22,"717,92","363,27","717,92","636,927","650,7821","651,6605","665,7","654,83","645,26","654,83"
06/22,"727,75","387,79","727,75","586,7404","587,2555","574,7245","677,36","646,65","628,27","646,65"
07/22,"736,35","393,09","736,35","600,4145","601,0271","585,9489","685,46","655,31","638,44","655,31"
08/22,"714,69","426,09","714,69","600,9027","614,7381","613,496","671,1","647,54","637,36","647,54"
09/22,"782,52","527,13","782,52","660,7628","689,7835","702,1917","742,67","713,62","711,78","713,62"
10/22,"793,04","556,08","793,04","650,2693","671,6614","690,0467","755,5","718,7","713,36","718,7"
11/22,"737,43","532,25","737,43","721,9832","727,4208","708,3173","704,49","703,61","705,28","703,61"
12/22,"729,38","517,03","729,38","706,1756","720,0384","709,4734","695,58","694,33","696,65","694,33"
